Product Name,Sales,ABC_class,XYZ_class,Forecast_Error_Percent,has_forecast,risk_score
Titleist Pro V1x Golf Balls,41415.37052844,C,X,0.0,False,2.0
Adult dog supplies,41524.80075276,C,X,0.0,False,2.0
Titleist Pro V1 High Numbers Personalized Gol,44243.491382600005,C,X,0.0,False,2.0
Nike Men's Comfort 2 Slide,44585.09062432,C,X,0.0,False,2.0
Under Armour Women's Micro G Skulpt Running S,46559.59103434,C,X,0.0,False,2.0
Titleist Pro V1x High Numbers Personalized Go,47206.92146286,C,X,0.0,False,2.0
adidas Men's F10 Messi TRX FG Soccer Cleat,56330.61164488,C,X,0.0,False,2.0
LIJA Women's Eyelet Sleeveless Golf Polo,61490.0,C,X,0.0,False,2.0
adidas Youth Germany Black/Red Away Match Soc,67830.0,C,X,0.0,False,2.0
First aid kit,106080.483077,C,X,0.0,False,2.0
Rock music,113122.09735260002,C,X,0.0,False,2.0
Smart watch ,117006.75,C,X,0.0,False,2.0
Summer dresses,140283.00474499998,C,X,0.0,False,2.0
Porcelain crafts,223356.325324,C,X,0.0,False,2.0
Under Armour Hustle Storm Medium Duffle Bag,29601.54064158,C,X,0.0,False,2.0
Under Armour Women's Ignite Slide,29398.80977828,C,X,0.0,False,2.0
Bridgestone e6 Straight Distance NFL San Dieg,28982.93982142,C,X,0.0,False,2.0
Team Golf San Francisco Giants Putter Grip,21766.2898108,C,X,0.0,False,2.0
Glove It Women's Imperial Golf Glove,18810.58979375,C,X,0.0,False,2.0
Brooks Women's Ghost 6 Running Shoe,19077.88003532,C,X,0.0,False,2.0
Nike Dri-FIT Crew Sock 6 Pack,19426.0,C,X,0.0,False,2.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,19567.94001724,C,X,0.0,False,2.0
Nike Women's Legend V-Neck T-Shirt,20025.0,C,X,0.0,False,2.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,20450.69974701,C,X,0.0,False,2.0
Under Armour Men's Tech II T-Shirt,20866.64980189,C,X,0.0,False,2.0
Bag Boy Beverage Holder,21116.54977639,C,X,0.0,False,2.0
adidas Men's Germany Black Crest Away Tee,21475.0,C,X,0.0,False,2.0
Team Golf Pittsburgh Steelers Putter Grip,22166.12984186,C,X,0.0,False,2.0
Columbia Men's PFG Anchor Tough T-Shirt,27840.0,C,X,0.0,False,2.0
Under Armour Kids' Mercenary Slide,22252.04978358,C,X,0.0,False,2.0
Team Golf Texas Longhorns Putter Grip,22366.04983238,C,X,0.0,False,2.0
Team Golf Tennessee Volunteers Putter Grip,22865.84974684,C,X,0.0,False,2.0
Team Golf St. Louis Cardinals Putter Grip,23940.41977515,C,X,0.0,False,2.0
Bridgestone e6 Straight Distance NFL Tennesse,25751.94975595,C,X,0.0,False,2.0
Under Armour Women's Ignite PIP VI Slide,27127.51979222,C,X,0.0,False,2.0
Nike Women's Tempo Shorts,27210.0,C,X,0.0,False,2.0
Nike Men's Deutschland Weltmeister Winners Bl,27210.0,C,X,0.0,False,2.0
adidas Kids' F5 Messi FG Soccer Cleat,27327.19054016,C,X,0.0,False,2.0
CDs of rock,3059.5899891599997,C,X,0.0,False,2.0
